Proteins	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene
ATP-dependent Lipid A-core flippase	msbA	b0914	966621	968369
nucleoside triphosphate pyrophosphatase YhdE	yhdE	b3248	3397785	3398378
acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit // acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit	ilvH // ilvI		87357	87848
pyruvate dehydrogenase // pyruvate dehydrogenase E2 subunit // lipoamide dehydrogenase	lpd // aceF // aceE		127912	129336
Xer site-specific recombination system	xerD // xerC		3038847	3039743
hydrogenase 2	hybA // hybB // hybO // hybC		3144154	3145140
<i>ditrans,polycis</i>-undecaprenyl-diphosphate synthase [(2<i>E</i>,6<i>E</i>)-farnesyl-diphosphate specific]	ispU	b0174	194903	195664
4-hydroxy-tetrahydrodipicolinate reductase	dapB	b0031	28374	29195
dUTP diphosphatase	dut	b3640	3813929	3814387
thiosulfate sulfurtransferase YgaP	ygaP	b2668	2797520	2798044
universal stress protein C	uspC	b1895	1979753	1980181
transcriptional activator RhaS	rhaS	b3905	4097736	4098572
oxidized flavorubredoxin	norV		2832476	2833915
<i>N</i>-acetylmuramic acid 6-phosphate etherase	murQ	b2428	2545773	2546669
putative transport complex, ABC superfamily	yadH // yadG		143702	144472
copper/silver export system	cusA // cusF // cusB // cusC		598714	601857
thymidine phosphorylase	deoA	b4382	4618229	4619551
sensor histidine kinase HprS	hprS	b1968	2036794	2038152
OmpR dimer	ompR	b3405	3535865	3536584
FKBP-type peptidyl-prolyl <i>cis-trans</I> isomerase SlyD	slyD	b3349	3477907	3478497
peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase	mepA	b2328	2445560	2446384
glutamine synthetase	glnA	b3870	4056625	4058034
D-erythrose-4-phosphate dehydrogenase	epd	b2927	3072672	3073691
RNA decapping hydrolase	nudC	b3996	4196903	4197676
protein sulfenic acid reductase and chaperone DsbG	dsbG	b0604	637827	638573
gamma-glutamyl-gamma-aminobutyrate hydrolase	puuD	b1298	1361120	1361884
BglG - his208 phosphorylated	bglG		3905731	3906567
fumarate reductase flavoprotein subunit // fumarate reductase iron-sulfur protein // fumarate reductase membrane protein FrdC // fumarate reductase membrane protein FrdD	frdD // frdC // frdB // frdA		4379007	4379366
tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase	trmL	b3606	3781215	3781688
23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase	rlmB	b4180	4409275	4410006
3-keto-L-gulonate-6-phosphate decarboxylase UlaD	ulaD	b4196	4422186	4422836
DNA-binding transcriptional dual regulator PspF	pspF	b1303	1366935	1367912
&beta;-glucoside specific PTS enzyme II	ascF	b2715	2839524	2840981
sensor histidine kinase AtoS	atoS	b2219	2320043	2321869
tartronate semialdehyde reductase 2	glxR	b0509	536586	537464
6,7-dimethyl-8-ribityllumazine synthase	ribE	b0415	434647	435117
phenylacetyl-CoA 1,2-epoxidase	paaB // paaC // paaA // paaE		1454868	1455155
PBP1B&gamma;	mrcB	b0149	164730	167264
galactosamine-specific PTS enzyme II (cryptic)	agaD // agaC // agaB		3285478	3286269
fused glutathionylspermidine amidase / glutathionylspermidine synthetase	gss	b2988	3136663	3138522
fructose-1,6-bisphosphatase 2	glpX	b3925	4114569	4115579
PaaF-PaaG hydratase-isomerase complex	paaF // paaG		1457497	1458264
glutamate synthase	gltD // gltB		3359198	3360616
tryptophanase	tnaA	b3708	3888730	3890145
PhoR-<i>N</i>-phospho-L-histidine	phoR		417889	419184
cupric reductase RclA	rclA	b0304	318676	320001
dihydroxyacetone kinase	dhaM // dhaL // dhaK		1247696	1249114
lysine / arginine / ornithine ABC transporter	argT // hisM // hisP // hisQ		2427009	2427791
L-fucose isomerase	fucI	b2802	2935584	2937359
6-phosphofructokinase 2	pfkB	b1723	1806370	1807299
CRISPR-associated complex for antiviral defense	casE // casD // casC // casB // casA		2879788	2880387
carboxy-S-adenosyl-L-methionine synthase	cmoA	b1870	1952702	1953445
bifunctional methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase	folD	b0529	556875	557741
phosphate ABC transporter	pstS // pstC // pstA // pstB		3910485	3911525
aminopeptidase YpdF	ypdF	b2385	2505547	2506632
diguanylate cyclase DgcM	dgcM	b1341	1406563	1407795
DNA replication inhibitor CspD	cspD	b0880	922366	922590
hydroxyisourate hydrolase / transthyretin-related protein	hiuH	b1970	2038956	2039369
copper-containing amine oxidase	tynA	b1386	1449076	1451349
ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator	zntR		3438705	3439130
putative menaquinol-cytochrome <i>c</i> reductase NrfCD	nrfC // nrfD		4289808	4290479
radiation resistance protein YbgI	ybgI	b0710	742827	743570
16S rRNA 2'-O-ribose C1402 methyltransferase	rsmI	b3146	3292475	3293335
DNA-binding transcriptional dual regulator ArgR	argR	b3237	3384703	3385173
DinJ-YafQ-phosphate	dinJ // yafQ		246242	246502
DnaA initiator-associating protein DiaA	diaA	b3149	3295809	3296399
ferric citrate outer membrane transport complex	tonB // exbB // exbD // fecA		1311089	1311808
DNA-binding transcriptional repressor MetJ-<i>S</i>-adenosyl-L-methionine	metJ		4128078	4128395
Outer Membrane Protein Assembly Complex	bamB // bamA // bamD // bamC // bamE		2637474	2638652
FMNH<sub>2</sub>-dependent alkanesulfonate monooxygenase	ssuD	b0935	994843	995988
D-cysteine desulfhydrase	dcyD	b1919	1998494	1999480
citrate lyase	citE // citF // citD		649582	650490
uridine phosphorylase	udp	b3831	4016431	4017192
L-glutamine&mdash;D-fructose-6-phosphate aminotransferase	glmS	b3729	3911839	3913668
quinone reductase	yieF	b3713	3894652	3895218
<i>N</i>-acetylneuraminate mutarotase	nanM	b4310	4537659	4538765
beta complex // alpha complex	atoD // atoA		2323447	2324109
ssDNA-binding protein	ssb	b4059	4274125	4274661
lipopolysaccharide transport system	lptF // lptB // lptA // lptC // lptG // lptD // lptE		4486218	4487318
peptidoglycan DD endopeptidase DacB	dacB	b3182	3328963	3330396
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase KdsC	kdsC	b3198	3342273	3342839
histidine ABC transporter	hisJ // hisQ // hisM // hisP		2426006	2426788
mannose-specific PTS enzyme II	manX // manY // manZ		1902048	1903019
ABC-type tripartite efflux pump	macA // macB // tolC		919235	920350
L-1,2-propanediol dehydrogenase / glycerol dehydrogenase	gldA	b3945	4137932	4139035
pyridoxine/pyridoxamine 5'-phosphate oxidase	pdxH	b1638	1717351	1718007
L-rhamnose isomerase	rhaA	b3903	4094723	4095982
ATP-dependent RNA helicase RhlB	rhlB	b3780	3964365	3965630
recombination mediator protein RecF	recF	b3700	3880148	3881221
methylglyoxal synthase	mgsA	b0963	1026557	1027015
8-amino-7-oxononanoate synthase	bioF	b0776	810381	811535
proofreading thioesterase in enterobactin biosynthesis	entH	b0597	629300	629713
UDP-glucose 4-epimerase	galE	b0759	791039	792055
nitrate reductase Z	narV // narZ // narY		1535937	1536617
<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II	chbB // chbC // chbA		1821299	1821619
DNA-binding transcriptional dual regulator NtrC-phosphorylated	glnG	b3868	4053869	4055278
cysteine desulfurase IscS	iscS	b2530	2660317	2661531
peptidyl-lysine N-acetyltransferase	patZ	b2584	2719953	2722613
cytidine/deoxycytidine deaminase	cdd	b2143	2231844	2232728
Hda-&beta;-clamp complex	dnaN // hda		3881221	3882321
3-isopropylmalate dehydrogenase	leuB	b0073	80867	81958
TorS-<i>N</i>-phospho-L-histidine-850	torS		1053434	1056178
ABC exporter YbhFSR	ybhF // ybhR // ybhS		827245	828981
type II secretion system	gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC		3465082	3465543
large conductance mechanosensitive channel	mscL	b3291	3438024	3438434
Ubi complex	ubiE // ubiF // ubiG // ubiH // ubiI // ubiJ // ubiK		4018855	4019610
iron-sulfur cluster insertion protein IscA	iscA	b2528	2659563	2659886
alkyl hydroperoxide reductase	ahpF // ahpC		639753	641318
phosphoglucosamine mutase	glmM	b3176	3322733	3324070
citrate synthase	gltA	b0720	753185	754468
tRNA threonylcarbamoyladenosine dehydratase	tcdA	b2812	2945036	2945842
Tsr<SUP>glu-Me</SUP>	tsr // cheA // cheW		4591657	4593312
xylose isomerase	xylA	b3565	3729443	3730765
DNA-binding transcriptional repressor DgoR	dgoR	b4479	3874471	3875160
2-methylcitrate synthase	prpC	b0333	350012	351181
fused chorismate mutase/prephenate dehydratase	pheA	b2599	2737745	2738905
DNA-binding transcriptional repressor FrlR	frlR	b3375	3504052	3504783
DNA-binding transcriptional dual regulator HU	hupB // hupA		461451	461723
transcription antiterminator and regulator of RNA stability CspE	cspE	b0623	657292	657501
cyclic pyranopterin monophosphate synthase	moaC	b0783	818570	819055
GMP reductase	guaC	b0104	113444	114487
periplasmic serine endoprotease	degQ	b3234	3380743	3382110
putative tRNA-binding protein YgjH	ygjH	b3074	3220915	3221247
lipoprotein NlpI	nlpI	b3163	3308040	3308924
ATP synthase Fo complex // ATP synthase F1 complex	atpC // atpH // atpA // atpG // atpD // atpE // atpF // atpB		3915553	3915972
cysteine synthase complex	cysK // cysE		2532409	2533380
fructose-bisphosphate aldolase class II	fbaA	b2925	3070165	3071244
multidrug efflux pump EmrAB-TolC	emrB // emrA // tolC		2812616	2814154
enoyl-[acyl-carrier-protein] reductase	fabI	b1288	1350251	1351039
glycine&mdash;tRNA ligase	glyQ // glyS		3724407	3725318
&beta;-glucoside specific PTS enzyme II - cys24 phosphorylated	bglF		3903720	3905597
multifunctional nuclease Cas1	cas1	b2755	2878855	2879772
50S ribosomal protein L16-arginine 3-hydroxylase	roxA	b1128	1187119	1188240
glyoxylate carboligase	gcl	b0507	533916	535697
thiosulfate sulfurtransferase GlpE	glpE	b3425	3561497	3561823
KHG/KDPG aldolase	eda	b1850	1932115	1932756
adenosylmethionine-8-amino-7-oxononanoate aminotransferase	bioA	b0774	807968	809257
tRNA pseudouridine<sup>38-40</sup> synthase	truA	b2318	2434824	2435636
2Fe-2S cluster-containing protein YeaW	yeaW	b1802	1884665	1885789
nitrate reductase A	narI // narH // narG		1285849	1286526
phosphoribosylaminoimidazole-succinocarboxamide synthase	purC	b2476	2596905	2597618
cellulose synthase	bcsA // bcsB		3692618	3695236
outer membrane porin F	ompF	b0929	985894	986982
YefM-YoeB antitoxin/toxin complex / DNA-binding transcriptional repressor	yefM // yoeB		2089462	2089713
ClpX ATP-dependent protease specificity component and chaperone	clpX	b0438	457426	458700
DNA-binding transcriptional  repressor CRP-Sxy	crp // sxy		3486120	3486752
NAD(P)H:quinone oxidoreductase	wrbA	b1004	1067112	1067708
2-amino-3-ketobutyrate CoA ligase	kbl	b3617	3791355	3792551
1,4-dihydroxy-2-naphthoyl-CoA synthase	menB	b2262	2375962	2376819
tRNA cytosine<sup>32</sup> 2-sulfurtransferase TtcA	ttcA	b1344	1411013	1411948
selenocysteine synthase	selA	b3591	3759858	3761249
sensor histidine kinase PhoR	phoR	b0400	417889	419184
glucose-1-phosphate adenylyltransferase	glgC	b3430	3568033	3569328
NADPH:quinone oxidoreductase MdaB	mdaB	b3028	3172530	3173111
DNA helicase II	uvrD	b3813	3997983	4000145
6-phosphogluconate dehydrogenase, decarboxylating	gnd	b2029	2099862	2101268
putative hydrolase YcaC	ycaC	b0897	944931	945557
ATP synthase F<sub>1</sub> complex subunit &alpha;	atpA	b3734	3918316	3919857
O-succinylhomoserine(thiol)-lyase / O-succinylhomoserine lyase	metB	b3939	4128672	4129832
phosphoserine/phosphohydroxythreonine aminotransferase	serC	b0907	957653	958741
protein export chaperone SecB	secB	b3609	3783661	3784128
oligopeptide ABC transporter	oppA // oppB // oppF // oppD // oppC		1301182	1302813
macrodomain Ter protein	matP	b0956	1018485	1018937
anti-sigma factor stabilizing protein RseB	rseB	b2571	2707798	2708754
cysteine synthase A	cysK	b2414	2532409	2533380
methyl-accepting chemotaxis protein Trg - ribose/galactose/glucose-sensing	trg	b1421	1492470	1494110
thiazole synthase	thiH // thiG		4190735	4191868
lipoprotein release complex	lolC // lolD // lolE		1175427	1176626
dCTP deaminase	dcd	b2065	2141634	2142215
DNA-binding transcriptional dual regulator OmpR-phosphorylated	ompR	b3405	3535865	3536584
DNA-binding transcriptional dual regulator NsrR	nsrR	b4178	4406190	4406615
fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase	ribD	b0414	433455	434558
GDP-L-fucose synthase	fcl	b2052	2126225	2127190
multidrug efflux pump AcrAB-TolC	acrB // acrA // tolC		481254	484403
anaerobic ribonucleoside-triphosphate reductase activating protein	nrdG	b4237	4459900	4460364
regulator of CsrB and CsrC decay	csrD	b3252	3401392	3403332
poly-<i>N</i>-acetyl-D-glucosamine synthase	pgaC // pgaD		1086521	1087846
DcuS-DcuB sensor complex	dcuS // dcuB		4350031	4351662
AtoS-<i>N</i>-phospho-L-histidine	atoS		2320043	2321869
UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase	arnA	b2255	2368039	2370021
GadE-RcsB DNA-binding transcriptional activator	gadE // rcsB		3658366	3658893
miniconductance mechanosensitive channel YbdG	ybdG	b0577	603416	604663
putative ethanolamine catabolic microcompartment shell protein EutM	eutM	b2457	2572157	2572450
sulfurtransferase for molybdenum cofactor sulfuration	fdhD	b3895	4086016	4086849
DNA topoisomerase IV	parC // parE		3163715	3165973
HslVU protease	hslV // hslU		4121757	4122287
cystine ABC transporter	tcyJ // tcyL // tcyN		1999585	2000385
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	ispD	b2747	2871780	2872490
nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	b1991	2063388	2064467
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	menD	b2264	2377589	2379259
acetylglutamate kinase	argB	b3959	4156013	4156789
alkaline phosphatase	phoA	b0383	401747	403162
HypA-HypB heterodimer	hypB // hypA		2851001	2851873
L-ribulose-5-phosphate 4-epimerase AraD	araD	b0061	65855	66550
anaerobic glycerol-3-phosphate dehydrogenase	glpC // glpB // glpA		2355521	2356711
23S rRNA m<sup>5</sup>C1962 methyltransferase	rlmI	b0967	1028779	1029969
excision nuclease UvrABC	uvrA // uvrC // uvrB		4271049	4273871
periplasmic protein-L-methionine sulfoxide reducing system	msrP // msrQ		2039478	2040482
HypT-[Met]reduced	hypT	b4327	4557378	4558289
lipopolysaccharide transport system - outer membrane assembly complex	lptE // lptD		671605	672186
DNA-binding transcriptional dual regulator SlyA	slyA	b1642	1720390	1720824
orotidine-5'-phosphate decarboxylase	pyrF	b1281	1341921	1342658
inosine/guanosine kinase	gsk	b0477	500125	501429
NADPH-dependent aldehyde reductase Ahr	ahr	b4269	4495190	4496209
Grx4-IbaG complex	grxD // ibaG		1733754	1734101
CpxA-<i>N</i>-phospho-L-histidine	cpxA		4103602	4104975
sulfur acceptor protein CsdE	csdE	b2811	2944542	2944985
dihydroxyacetone kinase, phosphotransferase component	dhaM	b1198	1247696	1249114
sorbitol-specific PTS enzyme II	srlE // srlB // srlA		2826392	2827351
putative quinone oxidoreductase 1	qorA	b4051	4263248	4264231
sensor histidine kinase CusS	cusS	b0570	593328	594770
FlhDC DNA-binding transcriptional dual regulator	flhC // flhD		1977266	1977844
<i>N</i>-acetylmannosamine kinase	nanK	b3222	3369475	3370350
fructose-6-phosphate aldolase 2	fsaB	b3946	4139046	4139708
glutamate 5-kinase	proB	b0242	260388	261491
acetylornithine deacetylase	argE	b3957	4153696	4154847
copper binding protein CutA	cutA	b4137	4365018	4365356
diguanylate cyclase DosC	dosC	b1490	1565758	1567140
o-succinylbenzoate--CoA ligase	menE	b2260	2373648	2375003
ferric coprogen outer membrane transport complex	tonB // exbB // exbD // fhuE		1311089	1311808
protein-lysine deacetylase/desuccinylase/delipoylase	cobB	b1120	1179520	1180359
sensor histidine kinase CpxA	cpxA	b3911	4103602	4104975
PF02567 family protein YddE	yddE	b1464	1534965	1535858
HigB-HigA toxin/antitoxin complex and DNA-binding transcriptional repressor	higB // higA		3234141	3234455
dihydropyrimidine dehydrogenase (NAD<sup>+</sup>)	preA // preT		2235265	2236500
periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase	appA	b0980	1040617	1041915
ribose ABC transporter	rbsB // rbsC // rbsA		3936278	3937168
5-dehydro-4-deoxy-<small>D</small>-glucuronate isomerase	kduI	b2843	2983288	2984124
uracil phosphoribosyltransferase	upp	b2498	2620246	2620872
biotin carboxyl carrier protein (dimer)	accB		3405436	3405906
fumarase C	fumC	b1611	1685185	1686588
molybdopterin molybdotransferase	moeA	b0827	865129	866364
nucleoside phosphorylase PpnP	ppnP	b0391	408177	408461
50S ribosomal protein complex L8	rplL // rplJ		4180560	4180925
moderate conductance mechanosensitive channel YbiO	ybiO	b0808	843255	845480
DNA-binding transcriptional repressor NikR-Ni<SUP>2+</SUP>	nikR		3618588	3618989
glutamate synthase	gltB // gltD		3354725	3359185
histidinol-phosphate aminotransferase	hisC	b2021	2092398	2093468
oxalyl-CoA decarboxylase	oxc	b2373	2490256	2491950
S6:S18 ribosomal subunit complex	rpsF // rpsR		4425118	4425513
<i>N</i>-acetylglutamate synthase	argA	b2818	2949242	2950573
NtrB-<i>N</i>-phospho-L-histidine	glnL		4055290	4056339
multidrug efflux pump EmrE / betaine:H<sup>+</sup> antiporter / choline:H<sup>+</sup> antiporter	emrE	b0543	568315	568647
anaerobic nucleoside-triphosphate reductase activating system	nrdG // nrdD		4459900	4460364
inducible ornithine decarboxylase	speF	b0693	718262	720460
murein tetrapeptide carboxypeptidase	ldcA	b1192	1242166	1243080
periplasmic acid stress chaperone HdeB	hdeB	b3509	3655966	3656292
pyridoxal kinase 2	pdxY	b1636	1715026	1715889
chaperone protein HtpG	htpG	b0473	495120	496994
multidrug efflux pump MdtEF-TolC	mdtF // mdtE // tolC		3660414	3663527
glucose-1-phosphatase	agp	b1002	1065585	1066826
nucleotide exchange factor GrpE	grpE	b2614	2750115	2750708
cytochrome <i>bd</i>-II ubiquinol:oxygen oxidoreductase	appX // appB // appC		1040445	1040537
DNA-binding transcriptional repressor TreR	treR	b4241	4466299	4467246
periplasmic chaperone Skp	skp	b0178	200482	200967
phosphate acetyltransferase EutD	eutD	b2458	2572489	2573505
flagellar export apparatus	fliJ // fliI // fliH // fliR // fliQ // fliP // fliO // flhB // flhA		2017946	2018389
DNA-binding transcriptional dual regulator CysB	cysB	b1275	1333855	1334829
iron-catecholate outer membrane transport complex I	tonB // exbB // exbD // fiu		1311089	1311808
PF10636 family protein YdiE	ydiE	b1705	1789613	1789804
oxidized ribonucleoside-triphosphate reductase	nrdD		4460522	4462660
2'-<i>O</i>-acetyl-ADP-ribose deacetylase, regulator of RNase III activity	ymdB	b1045	1105820	1106353
hexapeptide repeats-containing protein YrdA	yrdA	b3279	3429236	3429790
putative monooxygenase YdhR	ydhR	b1667	1746700	1747005
dihydropteroate synthase	folP	b3177	3324063	3324911
5'-methylthioadenosine/<i>S</i>-adenosylhomocysteine nucleosidase	mtn	b0159	178455	179153
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	gpmA	b0755	786843	787595
ribosome-dependent mRNA interferase toxin YoeB	yoeB	b4539	2089211	2089465
phosphoribosylformylglycinamide cyclo-ligase	purM	b2499	2621197	2622234
Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter	fieF	b3915	4106469	4107371
periplasmic serine endoprotease DegP	degP	b0161	180884	182308
RcsAB DNA-binding transcriptional dual regulator	rcsA // rcsB		2023968	2024591
L-valine exporter	ygaH // ygaZ		2810344	2810679
hydrogenase 1	hyaC // hyaB // hyaA		1035066	1035773
Z-ring positioning protein MinC	minC	b1176	1225385	1226080
ribosomal protein S6 modification protein	rimK	b0852	891967	892869
inosine 5'-monophosphate dehydrogenase	guaB	b2508	2632604	2634070
fructose-bisphosphate aldolase class I	fbaB	b2097	2177512	2178564
ketol-acid reductoisomerase (NADP<sup>+</sup>)	ilvC	b3774	3957970	3959445
FicT-FicA complex	yhfG // fic		3491453	3491620
cyclic di-GMP phosphodiesterase PdeF	pdeF	b2503	2626695	2628938
aminodeoxychorismate lyase	pabC	b1096	1153300	1154109
glutamate&mdash;pyruvate aminotransferase AlaA	alaA	b2290	2407561	2408778
cobalamin outer membrane transport complex	tonB // exbB // exbD // btuB		1311089	1311808
L-serine deaminase III	tdcG	b4471	3258285	3259649
protein histidine kinase NtrB	glnL	b3869	4055290	4056339
mannitol-specific PTS enzyme II CmtBA	cmtA // cmtB		3077471	3078859
dITP/XTP pyrophosphatase	rdgB	b2954	3096681	3097274
pyrroline-5-carboxylate reductase	proC	b0386	404835	405644
isocitrate dehydrogenase kinase/phosphatase	aceK	b4016	4218596	4220332
2-oxoglutarate dehydrogenase complex	lpd // sucB // sucA		127912	129336
protein sulfenic acid reductase and chaperone DsbG<sub>oxidized</sub>	dsbG		637827	638573
peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA	mrcA	b3396	3522871	3525423
lipid A disaccharide synthase	lpxB	b0182	203348	204496
NADPH-dependent curcumin/dihydrocurcumin reductase	curA	b1449	1519027	1520064
putative transport complex, ABC superfamily	ydcU // ydcV // ydcT // ydcS		1513831	1514772
ATP synthase F<sub>o</sub> complex	atpB // atpF // atpE		3921236	3922051
Grx4-BolA complex	grxD // bolA		1733754	1734101
methyl-accepting chemotaxis protein - dipeptide-sensing	tap	b1885	1969383	1970984
D-alanyl-D-alanine carboxypeptidase DacC	dacC	b0839	880727	881929
nonspecific DNA-binding protein YbiB	ybiB	b0800	835248	836210
RnlA-RnlB toxin-antitoxin complex	rnlA // rnlB		2765918	2766991
erythronate-4-phosphate dehydrogenase	pdxB	b2320	2436715	2437851
primosomal protein DnaT	dnaT	b4362	4600978	4601517
1-deoxy-D-xylulose-5-phosphate synthase	dxs	b0420	438315	440177
multidrug efflux pump MdtABC-TolC	mdtA // mdtB // mdtC // tolC		2154016	2155263
succinylornithine transaminase	astC	b1748	1830762	1831982
DNA polymerase V	umuD // umuC		1230767	1231186
DNA-binding transcriptional activator DcuR-phosphorylated	dcuR	b4124	4349315	4350034
lactoylglutathione lyase	gloA	b1651	1727837	1728244
DNA-binding transcriptional dual regulator/c-di-GMP phosphodiesterase PdeL	pdeL	b0315	332371	333459
spermidine synthase	speE	b0121	135598	136464
lysine&mdash;tRNA ligase, constitutive	lysS	b2890	3033657	3035174
ribokinase	rbsK	b3752	3937294	3938223
aspartate carbamoyltransferase catalytic subunit	pyrB	b4245	4471460	4472395
4-hydroxy-tetrahydrodipicolinate synthase	dapA	b2478	2598882	2599760
acetylesterase	aes	b0476	499014	499973
allantoate amidohydrolase	allC	b0516	544057	545292
Tap<SUP>glu</SUP>	tap // cheW // cheA		1969383	1970984
glutathione synthetase	gshB	b2947	3091878	3092828
TorR-TorI	torR		1057262	1057954
citrate lyase, inactive	citE // citF // citD		649582	650490
aconitate hydratase A	acnA	b1276	1335831	1338506
&beta; complex	atoA	b2222	2324109	2324759
acetohydroxy acid synthase I subunit IlvB // acetohydroxy acid synthase I subunit IlvN	ilvN // ilvB		3850802	3851092
ethanolamine ammonia-lyase subunit alpha // ethanolamine ammonia-lyase subunit beta	eutC // eutB		2556410	2557297
arsenite/antimonite:H<sup>+</sup> antiporter	arsB	b3502	3648935	3650224
nitrogen regulatory protein PII-2	glnK	b0450	472598	472936
ADP-L-glycero-D-mannoheptose 6-epimerase	rfaD	b3619	3793987	3794919
malate dehydrogenase	mdh	b3236	3383330	3384268
citrate lyase [acyl carrier protein] component	citD	b0617	650487	650783
2,3-dihydroxybenzoate-[aryl-carrier protein] ligase	entE	b0594	626070	627680
RNA polymerase sigma 19	fecI // rpoA // rpoC // rpoB		4517714	4518235
formyltetrahydrofolate deformylase	purU	b1232	1287782	1288624
D-2-hydroxyglutarate dehydrogenase	ydiJ	b1687	1765629	1768685
citrate lyase, citrate-acyl carrier protein transferase component	citF	b0615	648039	649571
UDP-<i>N</i>-acetylmuramate&mdash;L-alanine ligase	murC	b0091	100765	102240
protein disaggregase ClpB	clpB	b2592	2731600	2734173
glutamyl-tRNA reductase	hemA	b1210	1263714	1264970
ATP-independent periplasmic chaperone Spy	spy	b1743	1825140	1825625
Tap<SUP>gln</SUP>	tap // cheW // cheA		1969383	1970984
fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase	glmU	b3730	3913830	3915200
fumarase A	fumA	b1612	1686731	1688377
sulfite reductase, flavoprotein subunit complex	cysJ	b2764	2890099	2891898
NADH:quinone oxidoreductase I, peripheral arm	nuoI // nuoG // nuoF // nuoE // nuoC // nuoB		2395908	2396450
exodeoxyribonuclease VII	xseB // xseA		441101	441343
ribonuclease T	rnt	b1652	1728347	1728994
phosphoenolpyruvate carboxylase	ppc	b3956	4150447	4153098
galactarate dehydratase	garD	b3128	3275282	3276853
periplasmic acid stress chaperone HdeA	hdeA	b3510	3656408	3656740
nickel ABC transporter	nikA // nikC // nikB // nikE // nikD		3613667	3615241
ethanol dehydrogenase / alcohol dehydrogenase	adhP	b1478	1552828	1553838
molybdopterin-guanine dinucleotide biosynthesis adaptor protein	mobB	b3856	4040906	4041433
osmolyte:H<sup>+</sup> symporter ProP	proP	b4111	4330502	4332004
predicted structural protein, ethanolamine utilization microcompartment	eutL	b2439	2555741	2556400
fused chorismate mutase/prephenate dehydrogenase	tyrA	b2600	2738948	2740069
maltose ABC transporter	malE // malG // malF // malK		4245229	4246419
MazE antitoxin of the MazF-MazE toxin-antitoxin system / DNA-binding transcriptional repressor	mazE	b2783	2911091	2911339
ornithine carbamoyltransferase	argI	b4254	4477307	4478311
RNase adaptor protein RapZ	rapZ	b3205	3347115	3347969
phenylalanine&mdash;tRNA ligase	pheT // pheS		1795557	1797944
MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity	mazF	b2782	2910756	2911091
sensor histidine kinase ArcB	arcB	b3210	3350689	3353025
iron-sulfur cluster carrier protein NfuA	nfuA	b3414	3545624	3546199
biosynthetic arginine decarboxylase	speA	b2938	3083935	3085911
glutamate / aspartate ABC transporter	gltL // gltJ // gltK // gltI		684530	685255
L-fucose mutarotase	fucU	b2804	2938888	2939310
DNA-binding transcriptional dual regulator Fis	fis	b3261	3411271	3411567
5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase	phnP	b4092	4314344	4315102
histidine--tRNA ligase	hisS	b2514	2639301	2640575
<I>Eco</I>KI restriction-modification system	hsdS // hsdR // hsdM		4580068	4581462
<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter	ugpB // ugpE // ugpA // ugpC		3591009	3592325
carbon storage regulator CsrA	csrA	b2696	2818961	2819146
DUF945 domain-containing protein YdgA	ydgA	b1614	1689852	1691360
ATP-dependent structure-specific DNA nuclease	sbcD // sbcC		415750	416952
sensor histidine kinase DcuS	dcuS	b4125	4350031	4351662
ClpAP	clpA // clpP		923264	925540
periplasmic nitrate reductase	napA // napB		2300267	2302753
intermembrane phospholipid transport system	mlaF // mlaE // mlaD // mlaB		3339256	3340065
ClpAXP	clpX // clpA // clpP		457426	458700
fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase	paaZ	b1387	1451597	1453642
MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator	mntR		853183	853650
PTS enzyme I	ptsI	b2416	2534066	2535793
selenide, water dikinase	selD	b1764	1846965	1848008
phosphatidylserine decarboxylase	psd		4389392	4390360
